"id","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot"
923,"r00835","GRLGS","BUR",477494.36,5631809.43,47.6,0.46,NA,"fs-002"
924,"r00836","GRLGS","BUR",477503.01,5631811.14,40.4,0.46,NA,"fs-002"
925,"r00837","GRLGS","BUR",477494.14,5631815.48,24.6,0.22,NA,"fs-002"
926,"r00838","GRLGS","BUR",477494.64,5631816.12,47.6,0.51,NA,"fs-002"
927,"r00839","GRLGS","BUR",477488.13,5631819.13,21.6,0.22,NA,"fs-002"
928,"r00840","SBSF","BUR",477616.35,5632159.41,27,0.13,NA,"fs-015"
929,"r00842","SBSF","BUR",477619.1,5632159.76,27,0.07,NA,"fs-015"
930,"r00843","SBSF","BUR",477617.9,5632160.53,27,0.13,NA,"fs-015"
931,"r00845","SBSF","BUR",477617.4,5632162.15,27,0.22,NA,"fs-015"
932,"r00846","SBSF","BUR",477619.15,5632162.66,27,0.16,NA,"fs-015"
933,"r00847","SBSF","BUR",477618.31,5632162.85,27,0.11,NA,"fs-015"
934,"r00848","SBSF","BUR",477612.2,5632161.81,27,0.13,NA,"fs-015"
935,"r00849","SBSF","BUR",477613.41,5632161.86,27,0.09,NA,"fs-015"
936,"r00850","SBSF","BUR",477615.47,5632162.25,27,0.1,NA,"fs-015"
937,"r00851","SBSF","BUR",477616.42,5632162.63,27,0.22,NA,"fs-015"
938,"r00852","jk","EIT",477540.16,5631775.06,NA,0.37,NA,"fs-010"
939,"r00854","SBSF","BUR",477619.13,5632162.82,27,0.08,NA,"fs-015"
940,"r00855","SBSF","BUR",477615.27,5632163.1,27,0.13,NA,"fs-015"
941,"r00856","SBSF","BUR",477617.28,5632164.79,27,0.13,NA,"fs-015"
942,"r00857","SBSF","BUR",477618.48,5632165.53,27,0.16,NA,"fs-015"
943,"r00858","SBSF","BUR",477616.37,5632166.77,27,0.13,NA,"fs-015"
944,"r00859","SBSF","BUR",477615.38,5632166.81,27,0.09,NA,"fs-015"
945,"r00860","jk","BUR",477419.54,5631964.96,NA,0.35,NA,"fs-006"
946,"r00861","dg","EIT",477799.54,5632205.75,NA,0.48,"auch Saftfluss. DELAWI 00275","dm-002"
947,"r00862","SBSF","BUR",477612.29,5632165.44,27,0.13,NA,"fs-015"
948,"r00863","SBSF","BUR",477612.84,5632166.39,27,0.13,NA,"fs-015"
949,"r00864","SBSF","BUR",477613.94,5632168.3,27,0.16,NA,"fs-015"
950,"r00865","SBSF","BUR",477615.08,5632169.6,27,0.1,NA,"fs-015"
951,"r00866","SBSF","BUR",477610.65,5632165.41,27,0.17,NA,"fs-015"
952,"r00867","SBSF","BUR",477612.37,5632167.4,27,0.13,NA,"fs-015"
953,"r00868","SBSF","BUR",477610.72,5632170.34,27,0.16,NA,"fs-015"
954,"r00869","jk","HBU",477901.94,5632156.81,12,0.18,NA,"fs-027"
955,"r00871","jk","BUR",477537.74,5631775.86,NA,0.23,NA,"fs-010"
956,"r00872","jk","BUR",477901.83,5632154.93,9,0.14,NA,"fs-027"
957,"r00873","SBSF","BUR",477608.33,5632164.81,27,0.19,NA,"fs-015"
958,"r00874","SBSF","BUR",477607.7,5632165.95,27,0.1,NA,"fs-015"
959,"r00875","SBSF","BUR",477604.89,5632167.83,27,0.18,NA,"fs-015"
960,"r00876","SBSF","BUR",477603.21,5632167.64,27,0.16,NA,"fs-015"
961,"r00877","SBSF","BUR",477411.3,5632260.02,27,0.6,NA,"fs-014"
962,"r00878","SBSF","HBU",477417.54,5632255.31,27,0.08,NA,"fs-014"
963,"r00879","SBSF","BUR",477418.65,5632256.37,27,0.15,NA,"fs-014"
964,"r00880","SBSF","BUR",477419.34,5632255.97,27,0.12,NA,"fs-014"
965,"r00881","SBSF","BUR",477419.7,5632259.24,27,0.13,NA,"fs-014"
966,"r00882","SBSF","BUR",477420.39,5632259.12,27,0.11,NA,"fs-014"
967,"r00883","SBSF","BUR",477420.66,5632259.59,27,0.16,NA,"fs-014"
968,"r00884","SBSF","HBU",477421.02,5632260.25,27,0.08,NA,"fs-014"
