"ID","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot","level"
595,"r00132","dg","BUR",477658.46,5632235.48,NA,0.2,"Plakette gesetzt von unbekannt. gefunden von dg am 31.8.2018. viele tote ƒste. bemoost","fs-047",NA
597,"r00144","HSS","BUR",477708.9,5631930.75,6,0.16,NA,"fs-044",2
598,"r00145","HSS","BUR",477716.15,5631931.54,20,0.39,NA,"fs-044",4
599,"r00146","HSS","BUR",477714.94,5631925.89,19,0.39,NA,"fs-044",4
600,"r00147","HSS","BUR",477717.23,5631927.49,15,0.27,NA,"fs-044",3
601,"r00148","HSS","BUR",477705.62,5631930.78,22,0.33,NA,"fs-044",5
602,"r00149","HSS","EIT",477706.49,5631933.6,17,0.46,NA,"fs-044",4
603,"r00150","HSS","EIT",477713.4,5631938.21,22,0.48,NA,"fs-044",5
604,"r00151","HSS","BUR",477709.54,5631938.67,16,0.2,NA,"fs-044",4
605,"r00152","HSS","BUR",477713.38,5631923.51,16,0.23,NA,"fs-044",4
606,"r00153","HSS","BUR",477708.97,5631921.69,22,0.34,NA,"fs-044",5
607,"r00154","HSS","BUR",477718.84,5631923.68,23,0.26,NA,"fs-044",5
608,"r00155","HSS","BUR",477701.42,5631929.71,11,0.11,NA,"fs-044",3
609,"r00156","HSS","BUR",477579.34,5631884.58,9,0.13,NA,"fs-043",2
610,"r00157","HSS","BUR",477578.64,5631879.15,11,0.21,NA,"fs-043",3
611,"r00158","HSS","BUR",477583.58,5631875.81,9,0.18,NA,"fs-043",2
612,"r00159","HSS","BUR",477581.62,5631874.01,29,0.62,NA,"fs-043",6
613,"r00160","GRLGS","BUR",477503.74,5631625.81,19,0.16,NA,"fs-003",4
614,"r00161","GRLGS","BUR",477499.31,5631615.64,21.6,0.23,NA,"fs-003",5
615,"r00162","GRLGS","BUR",477500.88,5631614.79,31.6,0.23,NA,"fs-003",7
616,"r00163","GRLGS","BUR",477499.08,5631614.2,19,0.23,NA,"fs-003",4
617,"r00164","GRLGS","BUR",477503.1,5631627.47,14.6,0.15,NA,"fs-003",3
618,"r00165","GRLGS","LAE",477498.6,5631625.68,29.6,0.35,NA,"fs-003",6
619,"r00166","GRLGS","LAE",477495.39,5631610.85,37.6,0.45,NA,"fs-003",8
620,"r00167","GRLGS","BUR",477500.52,5631612.53,14.6,0.11,NA,"fs-003",3
621,"r00168","GRLGS","BUR",477493.53,5631617.83,21.6,0.27,NA,"fs-003",5
622,"r00169","GRLGS","BUR",477498.6,5631612.98,17.6,0.13,NA,"fs-003",4
623,"r00170","jk","EIT",477816.78,5632199.73,NA,0.59,"Abt.1 mittelhang","dm-002",NA
624,"r00171","GRLGS","LAE",477492.47,5631614.54,37.6,0.41,NA,"fs-003",8
625,"r00172","jk","BUR",477809.48,5632198.64,NA,0.51,"Abt.1 mittelhang. DELAWI 00249","dm-002",NA
626,"r00173","jk","EIT",477817.34,5632193.61,NA,0.57,"Abt.1 mittelhang","dm-002",NA
627,"r00174","jk","BUR",477771.76,5632201.34,NA,0.27,"Abt.1 unterhang","dm-001",NA
628,"r00175","jk","BUR",477774.67,5632199.05,NA,0.56,"Abt.1 unterhang","dm-001",NA
629,"r00176","jk","EIT",477770.29,5632197.68,NA,0.65,"Abt.1 unterhang","dm-001",NA
630,"r00177","jk","EIT",477775.36,5632192.63,NA,0.45,"Abt.1 unterhang","dm-001",NA
631,"r00178","jk","BUR",477778.02,5632187.03,NA,0.4,"Abt.1 unterhang","dm-001",NA
632,"r00179","jk","EIT",477781.22,5632185.87,NA,0.45,"Abt.1 unterhang","dm-001",NA
633,"r00180","jk","BUR",477780.11,5632182.55,NA,0.32,"Abt.1 unterhang","dm-001",NA
634,"r00181","jk","EIT",477782,5632178.54,NA,0.55,"Abt.1 unterhang","dm-001",NA
635,"r00520","DGLJS","BUR",477549.96,5632124.85,13,0.29,NA,"fs-034",3
636,"r00521","DGLJS","BUR",477551.5,5632124.85,13,0.13,NA,"fs-034",3
637,"r00522","DGLJS","BUR",477552.36,5632123.37,13,0.16,NA,"fs-034",3
638,"r00523","DGLJS","BUR",477555.15,5632123.02,13,0.19,NA,"fs-034",3
639,"r00524","DGLJS","BUR",477551.06,5632127.55,13,0.25,NA,"fs-034",3
640,"r00525","DGLJS","BUR",477550.66,5632126.42,13,0.1,NA,"fs-034",3
641,"r00526","DGLJS","BUR",477356.32,5631894.41,28.8,0.57,NA,"fs-035",6
642,"r00527","DGLJS","BUR",477352.79,5631906.36,31.4,0.54,NA,"fs-035",7
643,"r00528","DGLJS","BUR",477347.63,5631903.05,28.7,0.54,NA,"fs-035",6
644,"r00529","DGLJS","BUR",477342.33,5631898.33,35.4,0.43,NA,"fs-035",8
645,"r00530","DGLJS","BUR",477348.18,5631894.85,7.1,0.41,NA,"fs-035",2
646,"r00531","BHHK","EIT",477882.04,5632271.63,19,0.43,NA,"fs-038",4
647,"r00532","BHHK","BUR",477884.33,5632271.05,13.5,0.27,NA,"fs-038",3
648,"r00533","BHHK","EIT",477889.2,5632268.78,21.7,0.6,NA,"fs-038",5
649,"r00535","BHHK","BUR",477881.41,5632268.04,7.05,0.16,"2019-03-19 Art von HBU ge‰ndert","fs-038",2
650,"r00536","BHHK","BUR",477878.21,5632266.12,6.11,0.14,"2019-03-19 Art von HBU ge‰ndert","fs-038",2
651,"r00537","BHHK","BUR",477877.72,5632262.25,10.66,0.23,NA,"fs-038",3
652,"r00538","BHHK","BUR",477888.65,5632277.07,8.38,0.23,NA,"fs-038",2
653,"r00539","BHHK","BUR",477873.07,5632269,10,0.27,"2019-03-19 aufgenommen. Plakette war bei Erstaufnahme gesetzt","fs-038",2
654,"r00540","HSS","BUR",477577.84,5631873.02,22,0.42,NA,"fs-043",5
655,"r00541","HSS","BUR",477573.86,5631876.93,12,0.2,NA,"fs-043",3
656,"r00542","HSS","BUR",477570.72,5631872.49,31,0.5,NA,"fs-043",7
657,"r00543","HSS","BUR",477571.73,5631879.72,10,0.14,NA,"fs-043",2
658,"r00544","HSS","EIT",477568.34,5631881.68,25,0.39,NA,"fs-043",5
659,"r00545","HSS","BUR",477567.91,5631882.69,10,0.19,NA,"fs-043",2
660,"r00546","HSS","BUR",477576.88,5631885.95,18,0.27,NA,"fs-043",4
661,"r00555","HSS","BUR",477694.69,5631716.42,9,0.12,NA,"fs-046",2
662,"r00556","HSS","BUR",477695.89,5631716.72,12,0.14,NA,"fs-046",3
663,"r00557","HSS","EIT",477695.42,5631717.12,31,0.46,NA,"fs-046",7
664,"r00558","HSS","BUR",477700.75,5631720.72,29,0.54,NA,"fs-046",6
665,"r00559","HSS","BUR",477697.14,5631723.3,7,0.2,NA,"fs-046",2
666,"r00560","DGLJS","BUR",477555.2,5632125.26,15.7,0.19,NA,"fs-034",4
667,"r00561","DGLJS","BUR",477556.78,5632125.99,15.7,0.18,NA,"fs-034",4
668,"r00562","DGLJS","BUR",477556.83,5632123.8,15.7,0.19,NA,"fs-034",4
669,"r00563","DGLJS","BUR",477554.29,5632129.75,15.7,0.1,NA,"fs-034",4
670,"r00564","DGLJS","BUR",477552.51,5632130.72,15.7,0.16,NA,"fs-034",4
671,"r00565","DGLJS","BUR",477555.28,5632130.97,15.7,0.08,NA,"fs-034",4
672,"r00566","DGLJS","BUR",477555.49,5632129.31,15.7,0.21,NA,"fs-034",4
673,"r00567","DGLJS","BUR",477557.22,5632128.5,15.7,0.16,NA,"fs-034",4
674,"r00568","DGLJS","BUR",477555.46,5632131.54,15.7,0.08,NA,"fs-034",4
675,"r00569","dg","EIT",477805.55,5632200.56,NA,0.44,"auch Saftfluss. DELAWI 00276","dm-002",NA
676,"r00570","DGLJS","BUR",477558.7,5632131.27,15.7,0.35,NA,"fs-034",4
677,"r00571","DGLJS","BUR",477558.87,5632126.47,15.7,0.14,NA,"fs-034",4
678,"r00572","DGLJS","BUR",477563.67,5632129.88,15.7,0.1,NA,"fs-034",4
679,"r00573","DGLJS","BUR",477560.71,5632123.28,15.7,0.27,NA,"fs-034",4
680,"r00574","DGLJS","BUR",477563.22,5632125.47,15.7,0.16,NA,"fs-034",4
681,"r00575","DGLJS","BUR",477563.87,5632126.14,15.7,0.19,NA,"fs-034",4
682,"r00576","DGLJS","BUR",477565.22,5632127.35,15.7,0.12,NA,"fs-034",4
683,"r00577","dg","ESG",477410.8,5631899.89,23.6,0.46,NA,"fs-024",5
684,"r00578","DGLJS","BUR",477564.06,5632123.43,15.7,0.16,NA,"fs-034",4
685,"r00579","DGLJS","BUR",477565.22,5632126.8,15.7,0.1,NA,"fs-034",4
686,"r00580","DGLJS","BUR",477566.01,5632123.92,15.7,0.22,NA,"fs-034",4
687,"r00581","DGLJS","BUR",477564.65,5632121.1,15.7,0.18,NA,"fs-034",4
688,"r00582","DGLJS","BUR",477566.24,5632122.91,15.7,0.13,NA,"fs-034",4
689,"r00583","DGLJS","BUR",477561.59,5632121.15,15.7,0.19,NA,"fs-034",4
690,"r00584","DGLJS","BUR",477564.44,5632118.92,15.7,0.16,NA,"fs-034",4
691,"r00585","DGLJS","BUR",477562.17,5632119.97,13,0.24,NA,"fs-034",3
692,"r00586","DGLJS","BUR",477558.56,5632121.57,13,0.16,NA,"fs-034",3
693,"r00587","DGLJS","BUR",477562.45,5632116.73,13,0.08,NA,"fs-034",3
694,"r00588","DGLJS","BUR",477563.66,5632116.21,13,0.13,NA,"fs-034",3
695,"r00589","DGLJS","BUR",477560.46,5632115.64,13,0.08,NA,"fs-034",3
696,"r00590","DGLJS","BUR",477559.14,5632116.79,13,0.25,NA,"fs-034",3
697,"r00591","DGLJS","BUR",477556.77,5632114.28,13,0.1,NA,"fs-034",3
698,"r00592","DGLJS","BUR",477556.12,5632113.88,13,0.13,NA,"fs-034",3
699,"r00593","DGLJS","BUR",477556.59,5632120.11,13,0.16,NA,"fs-034",3
700,"r00594","DGLJS","BUR",477556.8,5632117.82,13,0.14,NA,"fs-034",3
701,"r00595","DGLJS","BUR",477556.96,5632121.3,13,0.1,NA,"fs-034",3
702,"r00596","DGLJS","BUR",477556.28,5632120.56,13,0.11,NA,"fs-034",3
703,"r00597","DGLJS","BUR",477552.44,5632118.59,13,0.11,NA,"fs-034",3
704,"r00598","DGLJS","BUR",477551.72,5632118.4,13,0.11,NA,"fs-034",3
705,"r00599","DGLJS","BUR",477549.33,5632118.39,13,0.1,NA,"fs-034",3
706,"r00600","GHKLRRS","ESG",477410,5631914.22,1.6,0.11,NA,"fs-024",1
707,"r00601","GHKLRRS","BUR",477253.62,5631883.9,25.8,0.42,NA,"fs-025",6
708,"r00602","GHKLRRS","BUR",477257.52,5631886.34,24.9,0.44,NA,"fs-025",5
709,"r00603","GHKLRRS","EIT",477253.52,5631886.73,24.6,0.35,NA,"fs-025",5
710,"r00604","GHKLRRS","BUR",477251.77,5631890.21,21.5,0.3,NA,"fs-025",5
711,"r00605","GHKLRRS","BUR",477253.97,5631890.62,22.9,0.32,NA,"fs-025",5
712,"r00606","GHKLRRS","BUR",477256.65,5631897.42,20.9,0.33,NA,"fs-025",5
713,"r00607","GHKLRRS","BUR",477257.99,5631896.54,10.1,0.11,NA,"fs-025",3
714,"r00608","GHKLRRS","BUR",477259.9,5631893.65,26.3,0.43,NA,"fs-025",6
715,"r00609","GHKLRRS","BUR",477261.72,5631890.81,18.9,0.18,NA,"fs-025",4
716,"r00610","GHKLRRS","BUR",477263.3,5631889.08,21,0.25,NA,"fs-025",5
717,"r00611","GHKLRRS","BUR",477264.04,5631895.65,24.3,0.38,NA,"fs-025",5
