"plotNumber","entropy"
"fs-049","1.5538146570364"
"fs-048","1.75632083723998"
"fs-024","2.4332062193465"
"fs-032","1.7527152789797"
"fs-041","1.58496250072116"
"fs-040","1.75"
"fs-042","1.15677964944704"
"fs-047","1.37878349348618"
"fs-006","2.23592635062903"
"fs-044","1.78415912785142"
"fs-046","1.65002242164835"
"fs-013","1.75"
"fs-002","1.55665670746282"
"fs-045","2.23592635062903"
"fs-050","1.57262366389516"
"de-004","0"
"de-003","0"
"fs-038","1.75"
"fs-023","1.84237099317711"
"fs-010","2.41938194564637"
"dm-003","1"
"exc-004","0"
"fs-031","1.52192809488736"
"fs-014","0"
"fs-039","1.52192809488736"
"fs-043","2.36852252772821"
"fs-037","0.721928094887362"
"fs-036","1.79248125036058"
"fs-005","1.57095059445467"
"fs-034","0.999673426004892"
"fs-001","2.18670434591002"
"fs-033","1.52192809488736"
"fs-029","1.84643934467102"
"fs-030","0.605186576633421"
"fs-027","2.23592635062903"
"fs-004","2.61057724333164"
"fs-022","0.811278124459133"
"fs-003","2.47290559532006"
"dm-002",NA
"dm-001",NA
"fs-035","1.92192809488736"
"fs-025","1.94553055603633"
"fs-026","1.78067212952089"
"fs-028","0"
"dm-006",NA
"dm-005","0"
"dm-004",NA
"fs-016","2.15563906222957"
"fs-017","1.96096404744368"
"fs-011","1.91829583405449"
"fs-012","2.50325833477565"
"fs-020","1.92192809488736"
"fs-021","1.76420450650862"
"fs-007","2.17095059445467"
"fs-015","0"
"fs-018","2.07416474302258"
"fs-019","1.78415912785142"
"fs-009","2.28103611255342"
"fs-008","2.48171457298607"
"fs-051","1.78415912785142"
"fs-052","2.56544837182083"
"fs-053","0.175565025857503"
"fs-054","0.91829583405449"
"fs-055","2"
"fs-056","2.58582793914304"
"fs-057","2.32192809488736"
"fs-058","1.58496250072116"
